Rate,Overall_Time,500m_Split,WBT_Percentage,Time_Diff_vs_36,Split_Diff_vs_36
40,5:27.27,1:21.82,110.0,-1:27.27,-1:51.82
39,5:51.46,1:27.86,102.4,-1:51.46,-1:57.86
38,5:54.21,1:28.55,101.6,-1:54.21,-1:58.55
37,5:57.05,1:29.26,100.8,-1:57.05,-1:59.26
36,6:00.00,1:30.00,100.0,0:00.00,0:00.00
35,6:03.06,1:30.76,99.2,0:03.06,0:00.76
34,6:06.23,1:31.56,98.3,0:06.23,0:01.56
33,6:09.52,1:32.38,97.4,0:09.52,0:02.38
32,6:12.95,1:33.24,96.5,0:12.95,0:03.24
31,6:16.52,1:34.13,95.6,0:16.52,0:04.13
30,6:20.24,1:35.06,94.7,0:20.24,0:05.06
29,6:24.13,1:36.03,93.7,0:24.13,0:06.03
28,6:28.19,1:37.05,92.7,0:28.19,0:07.05
27,6:32.45,1:38.11,91.7,0:32.45,0:08.11
26,6:36.92,1:39.23,90.7,0:36.92,0:09.23
25,6:41.62,1:40.40,89.6,0:41.62,0:10.40
24,6:46.56,1:41.64,88.5,0:46.56,0:11.64
23,6:51.79,1:42.95,87.4,0:51.79,0:12.95
22,6:57.32,1:44.33,86.3,0:57.32,0:14.33
21,7:03.18,1:45.80,85.1,1:03.18,0:15.80
20,7:09.42,1:47.36,83.8,1:09.42,0:17.36
19,7:16.08,1:49.02,82.6,1:16.08,0:19.02
18,7:23.21,1:50.80,81.2,1:23.21,0:20.80
17,7:30.88,1:52.72,79.8,1:30.88,0:22.72
16,7:39.15,1:54.79,78.4,1:39.15,0:24.79
